t,varpos_5,varpos_strict,n_genotypes
500.0,2,3,4
510.0,2,3,4
520.0,2,3,4
530.0,2,3,4
540.0,0,3,4
550.0,0,3,4
560.0,0,3,4
570.0,0,3,4
580.0,0,3,4
590.0,1,4,5
600.0,1,4,5
610.0,1,4,5
620.0,1,4,5
630.0,1,4,5
640.0,1,4,5
650.0,1,4,5
660.0,1,4,5
670.0,1,4,5
680.0,1,4,5
690.0,1,4,5
700.0,1,4,5
710.0,1,4,5
720.0,1,4,5
730.0,1,4,5
740.0,1,4,5
750.0,1,4,5
760.0,1,4,5
770.0,1,4,5
780.0,1,4,4
790.0,2,5,5
800.0,2,5,5
810.0,2,5,5
820.0,2,6,6
830.0,2,6,6
840.0,2,6,6
850.0,2,6,6
860.0,2,6,6
870.0,2,6,6
880.0,5,6,6
890.0,5,6,6
900.0,5,6,6
910.0,5,6,6
920.0,5,6,6
930.0,5,6,6
940.0,5,6,6
950.0,5,6,6
960.0,5,6,6
970.0,5,6,6
980.0,5,6,6
990.0,6,7,7
1000.0,6,7,7
1010.0,6,7,7
1020.0,6,7,7
1030.0,6,7,7
1040.0,6,7,7
1050.0,6,7,7
1060.0,6,7,7
1070.0,6,7,7
1080.0,6,8,8
1090.0,6,8,7
1100.0,6,8,7
1110.0,6,8,7
1120.0,6,8,7
1130.0,6,8,7
1140.0,6,8,7
1150.0,6,8,7
1160.0,6,8,7
1170.0,6,8,7
1180.0,6,8,7
1190.0,6,8,7
1200.0,6,8,7
1210.0,6,8,7
1220.0,6,8,7
1230.0,6,8,7
1240.0,6,8,7
1250.0,6,8,7
1260.0,6,8,7
1270.0,6,8,7
1280.0,6,8,7
1290.0,6,8,7
1300.0,6,8,7
1310.0,6,8,7
1320.0,6,8,7
1330.0,6,8,7
1340.0,6,8,7
1350.0,6,8,7
1360.0,6,8,7
1370.0,6,8,7
1380.0,6,8,7
1390.0,6,8,7
1400.0,6,8,7
1410.0,6,8,7
1420.0,6,8,7
1430.0,6,8,7
1440.0,6,8,7
1450.0,6,8,7
1460.0,6,8,7
1470.0,6,8,7
1480.0,6,8,7
1490.0,6,8,7
1500.0,6,8,7
1510.0,6,8,7
1520.0,6,8,7
1530.0,6,8,7
1540.0,6,8,7
1550.0,6,8,7
1560.0,6,8,7
1570.0,6,8,7
1580.0,6,9,8
1590.0,8,10,9
1600.0,8,10,9
1610.0,8,10,9
1620.0,7,10,9
1630.0,7,11,10
1640.0,7,11,10
1650.0,7,11,10
1660.0,7,11,10
1670.0,7,11,10
1680.0,8,12,11
1690.0,8,12,11
1700.0,8,12,11
1710.0,8,12,11
1720.0,9,13,12
1730.0,9,13,12
1740.0,5,13,12
1750.0,4,13,12
1760.0,4,13,12
1770.0,4,13,12
1780.0,4,13,11
1790.0,4,13,11
1800.0,4,13,11
1810.0,4,13,11
1820.0,4,13,11
1830.0,4,13,11
1840.0,4,13,11
1850.0,5,13,11
1860.0,5,13,11
1870.0,5,12,11
1880.0,5,12,10
1890.0,5,12,10
1900.0,5,12,10
1910.0,5,12,10
1920.0,5,12,9
1930.0,5,12,9
1940.0,5,13,9
1950.0,6,13,9
1960.0,6,13,9
1970.0,6,13,9
1980.0,6,13,9
1990.0,6,13,9
2000.0,6,14,10
2010.0,6,14,10
2020.0,6,14,10
2030.0,6,14,10
2040.0,6,14,10
2050.0,6,14,10
2060.0,6,14,10
2070.0,6,13,9
2080.0,6,13,9
2090.0,6,13,9
2100.0,6,13,9
2110.0,6,13,9
2120.0,6,13,9
2130.0,6,13,9
2140.0,6,13,9
2150.0,6,13,9
2160.0,6,13,9
2170.0,6,13,9
2180.0,6,13,9
2190.0,6,13,9
2200.0,6,13,9
2210.0,6,13,9
2220.0,6,13,9
2230.0,6,13,9
2240.0,6,13,9
2250.0,6,13,9
2260.0,6,13,9
2270.0,7,13,9
2280.0,7,13,9
2290.0,8,14,10
2300.0,7,14,10
2310.0,7,14,10
2320.0,3,14,9
2330.0,2,14,9
2340.0,2,14,8
2350.0,1,14,8
2360.0,0,14,8
2370.0,0,15,8
2380.0,0,15,8
2390.0,0,15,8
2400.0,1,15,8
2410.0,1,15,8
2420.0,1,15,8
2430.0,1,15,8
2440.0,1,15,8
2450.0,1,15,8
2460.0,1,15,8
2470.0,1,15,8
2480.0,1,15,8
2490.0,1,15,8
2500.0,1,15,8
2510.0,1,15,8
2520.0,1,15,8
2530.0,3,16,9
2540.0,4,16,9
2550.0,4,16,9
2560.0,4,16,9
2570.0,4,16,9
2580.0,4,16,9
2590.0,4,16,9
2600.0,4,17,10
2610.0,4,17,10
2620.0,4,17,10
2630.0,4,17,10
2640.0,4,17,10
2650.0,4,17,10
2660.0,4,17,9
2670.0,4,17,9
2680.0,4,11,8
2690.0,4,11,8
2700.0,4,11,8
2710.0,4,11,8
2720.0,4,12,8
2730.0,5,12,8
2740.0,5,12,8
2750.0,5,12,8
2760.0,5,12,8
2770.0,5,12,8
2780.0,5,12,8
2790.0,5,12,8
2800.0,5,12,8
2810.0,5,12,8
2820.0,5,12,8
2830.0,5,12,8
2840.0,5,12,8
2850.0,5,12,8
2860.0,6,13,9
2870.0,6,13,9
2880.0,5,13,9
2890.0,4,13,9
2900.0,3,13,9
2910.0,2,13,9
2920.0,2,14,10
2930.0,3,14,10
2940.0,3,14,10
2950.0,2,15,11
2960.0,2,15,11
2970.0,2,15,11
2980.0,2,15,11
2990.0,2,13,10
3000.0,2,13,10
3010.0,2,13,10
3020.0,2,13,10
3030.0,2,13,10
3040.0,2,13,10
3050.0,2,13,10
3060.0,2,13,10
3070.0,2,13,10
3080.0,2,13,10
3090.0,2,13,10
3100.0,3,14,11
3110.0,3,14,11
3120.0,3,14,11
3130.0,2,14,11
3140.0,2,14,11
3150.0,1,14,11
3160.0,1,14,11
3170.0,1,14,11
3180.0,1,14,11
3190.0,1,14,11
3200.0,1,13,10
3210.0,1,13,10
3220.0,1,13,10
3230.0,1,9,9
3240.0,1,10,10
3250.0,2,10,10
3260.0,2,10,10
3270.0,2,8,9
3280.0,2,8,9
3290.0,2,8,9
3300.0,2,8,9
3310.0,2,8,9
3320.0,2,7,8
3330.0,1,7,8
3340.0,1,7,8
3350.0,1,7,8
3360.0,1,7,8
