t,f,pos,state,final_state,id
51950,0.04696,1,-1,lost,1
51960,0.05426,1,-1,lost,1
51970,0.05332,1,-1,lost,1
51980,0.05706,1,-1,lost,1
51990,0.05908,1,-1,lost,1
52000,0.06502,1,-1,lost,1
52010,0.06776,1,-1,lost,1
52020,0.07404,1,-1,lost,1
52030,0.07632,1,-1,lost,1
52040,0.07618,1,-1,lost,1
52050,0.08386,1,-1,lost,1
52060,0.08854,1,-1,lost,1
52070,0.10138,1,-1,lost,1
52080,0.09816,1,-1,lost,1
52090,0.10158,1,-1,lost,1
52100,0.10232,1,-1,lost,1
52110,0.11252,1,-1,lost,1
52120,0.1091,1,-1,lost,1
52130,0.1096,1,-1,lost,1
52140,0.11222,1,-1,lost,1
52150,0.1094,1,-1,lost,1
52160,0.11992,1,-1,lost,1
52170,0.12306,1,-1,lost,1
52180,0.12988,1,-1,lost,1
52190,0.14108,1,-1,lost,1
52200,0.14446,1,-1,lost,1
52210,0.15828,1,-1,lost,1
52220,0.16414,1,-1,lost,1
52230,0.16902,1,-1,lost,1
52240,0.16714,1,-1,lost,1
52250,0.17718,1,-1,lost,1
52260,0.1804,1,-1,lost,1
52270,0.17368,1,-1,lost,1
52280,0.16766,1,-1,lost,1
52290,0.1671,1,-1,lost,1
52300,0.17324,1,-1,lost,1
52310,0.16612,1,-1,lost,1
52320,0.16808,1,-1,lost,1
52330,0.16998039215686275,1,-1,lost,1
52340,0.16558,1,-1,lost,1
52350,0.1674,1,-1,lost,1
52360,0.16124,1,-1,lost,1
52370,0.15864,1,-1,lost,1
52380,0.16454,1,-1,lost,1
52390,0.1597,1,-1,lost,1
52400,0.15274,1,-1,lost,1
52410,0.13808,1,-1,lost,1
52420,0.12972,1,-1,lost,1
52430,0.12234,1,-1,lost,1
52440,0.10824,1,-1,lost,1
52450,0.09722,1,-1,lost,1
52460,0.08478,1,-1,lost,1
52470,0.07986,1,-1,lost,1
52480,0.07264,1,-1,lost,1
52490,0.06094,1,-1,lost,1
52500,0.06362,1,-1,lost,1
52510,0.06066,1,-1,lost,1
52520,0.0625,1,-1,lost,1
52530,0.08076,1,-1,lost,1
52540,0.08356,1,-1,lost,1
52550,0.09166,1,-1,lost,1
52560,0.09644,1,-1,lost,1
52570,0.10024,1,-1,lost,1
52580,0.10902,1,-1,lost,1
52590,0.11758,1,-1,lost,1
52600,0.13004,1,-1,lost,1
52610,0.14332,1,-1,lost,1
52620,0.1563,1,-1,lost,1
52630,0.17638,1,-1,lost,1
52640,0.201,1,-1,lost,1
52650,0.22562,1,-1,lost,1
52660,0.24942,1,-1,lost,1
52670,0.27674,1,-1,lost,1
52680,0.2976,1,-1,lost,1
52690,0.32764,1,-1,lost,1
52700,0.35806,1,-1,lost,1
52710,0.38832,1,-1,lost,1
52720,0.39882,1,-1,lost,1
52730,0.4195,1,-1,lost,1
52740,0.42998,1,-1,lost,1
52750,0.4295,1,-1,lost,1
52760,0.45512,1,-1,lost,1
52770,0.4549,1,-1,lost,1
52780,0.46934,1,-1,lost,1
52790,0.48646,1,-1,lost,1
52800,0.49416,1,-1,lost,1
52810,0.49016,1,-1,lost,1
52820,0.4915,1,-1,lost,1
52830,0.4785,1,-1,lost,1
52840,0.46438,1,-1,lost,1
52850,0.46,1,-1,lost,1
52860,0.43746,1,-1,lost,1
52870,0.40796,1,-1,lost,1
52880,0.3851,1,-1,lost,1
52890,0.3446,1,-1,lost,1
52900,0.3076,1,-1,lost,1
52910,0.27156,1,-1,lost,1
52920,0.23798,1,-1,lost,1
52930,0.2116,1,-1,lost,1
52940,0.18334,1,-1,lost,1
52950,0.17018,1,-1,lost,1
52960,0.15476,1,-1,lost,1
52970,0.1542,1,-1,lost,1
52980,0.15212,1,-1,lost,1
52990,0.14526,1,-1,lost,1
53000,0.1324,1,-1,lost,1
53010,0.13062,1,-1,lost,1
53020,0.12952,1,-1,lost,1
53030,0.13408,1,-1,lost,1
53040,0.13736,1,-1,lost,1
53050,0.14056,1,-1,lost,1
53060,0.1466,1,-1,lost,1
53070,0.14746,1,-1,lost,1
53080,0.15624,1,-1,lost,1
53090,0.15204,1,-1,lost,1
53100,0.15784,1,-1,lost,1
53110,0.15454,1,-1,lost,1
53120,0.15504,1,-1,lost,1
53130,0.15674,1,-1,lost,1
53140,0.1647,1,-1,lost,1
53150,0.16796,1,-1,lost,1
53160,0.1782,1,-1,lost,1
53170,0.18918,1,-1,lost,1
53180,0.19208,1,-1,lost,1
53190,0.19352,1,-1,lost,1
53200,0.19404,1,-1,lost,1
53210,0.19982,1,-1,lost,1
53220,0.20362,1,-1,lost,1
53230,0.205,1,-1,lost,1
53240,0.20368,1,-1,lost,1
53250,0.21838,1,-1,lost,1
53260,0.22278,1,-1,lost,1
53270,0.2143,1,-1,lost,1
53280,0.21964,1,-1,lost,1
53290,0.2442,1,-1,lost,1
53300,0.25284,1,-1,lost,1
53310,0.25866,1,-1,lost,1
53320,0.25956,1,-1,lost,1
53330,0.25986,1,-1,lost,1
53340,0.25706,1,-1,lost,1
53350,0.27146,1,-1,lost,1
53360,0.294,1,-1,lost,1
53370,0.31560784313725493,1,-1,lost,1
53380,0.3357,1,-1,lost,1
53390,0.33098,1,-1,lost,1
53400,0.3387,1,-1,lost,1
53410,0.33826,1,-1,lost,1
53420,0.34544,1,-1,lost,1
53430,0.36132,1,-1,lost,1
53440,0.36816,1,-1,lost,1
53450,0.351,1,-1,lost,1
53460,0.34524,1,-1,lost,1
53470,0.31596,1,-1,lost,1
53480,0.25608,1,-1,lost,1
53490,0.19568,1,-1,lost,1
53500,0.14262,1,-1,lost,1
53510,0.1076,1,-1,lost,1
53520,0.08624,1,-1,lost,1
53530,0.07208,1,-1,lost,1
53540,0.06452,1,-1,lost,1
53550,0.0675,1,-1,lost,1
53560,0.06758,1,-1,lost,1
53570,0.06854,1,-1,lost,1
53580,0.07138,1,-1,lost,1
53590,0.07304,1,-1,lost,1
53600,0.08188,1,-1,lost,1
53610,0.0929,1,-1,lost,1
53620,0.10586,1,-1,lost,1
53630,0.1114,1,-1,lost,1
53640,0.0983,1,-1,lost,1
53650,0.07372,1,-1,lost,1
53660,0.05294,1,-1,lost,1
53670,0.03302,1,-1,lost,1
53790,0.04136,1,-1,lost,2
53800,0.05292,1,-1,lost,2
53810,0.0586,1,-1,lost,2
53820,0.06746,1,-1,lost,2
53830,0.07906,1,-1,lost,2
53840,0.08906,1,-1,lost,2
53850,0.09516,1,-1,lost,2
53860,0.10382,1,-1,lost,2
53870,0.10854,1,-1,lost,2
53880,0.11182,1,-1,lost,2
53890,0.11822,1,-1,lost,2
53900,0.11634,1,-1,lost,2
53910,0.11906,1,-1,lost,2
53920,0.11486,1,-1,lost,2
53930,0.10324,1,-1,lost,2
53940,0.10094,1,-1,lost,2
53950,0.0915,1,-1,lost,2
53960,0.08756,1,-1,lost,2
53970,0.08714,1,-1,lost,2
53980,0.0904,1,-1,lost,2
53990,0.08852,1,-1,lost,2
54000,0.09,1,-1,lost,2
54010,0.08642,1,-1,lost,2
54020,0.08562,1,-1,lost,2
54030,0.08992,1,-1,lost,2
54040,0.09156,1,-1,lost,2
54050,0.1021,1,-1,lost,2
54060,0.10774,1,-1,lost,2
54070,0.11138,1,-1,lost,2
54080,0.11488,1,-1,lost,2
54090,0.12112,1,-1,lost,2
54100,0.12596,1,-1,lost,2
54110,0.13662,1,-1,lost,2
54120,0.14014,1,-1,lost,2
54130,0.15036,1,-1,lost,2
54140,0.15188,1,-1,lost,2
54150,0.16874,1,-1,lost,2
54160,0.17704,1,-1,lost,2
54170,0.19776,1,-1,lost,2
54180,0.20788,1,-1,lost,2
54190,0.21466,1,-1,lost,2
54200,0.23052,1,-1,lost,2
54210,0.23964,1,-1,lost,2
54220,0.24262,1,-1,lost,2
54230,0.26132,1,-1,lost,2
54240,0.2652745098039216,1,-1,lost,2
54250,0.27014,1,-1,lost,2
54260,0.26932,1,-1,lost,2
54270,0.26434,1,-1,lost,2
54280,0.2618,1,-1,lost,2
54290,0.2688,1,-1,lost,2
54300,0.26206,1,-1,lost,2
54310,0.25274,1,-1,lost,2
54320,0.24324,1,-1,lost,2
54330,0.22454,1,-1,lost,2
54340,0.20498,1,-1,lost,2
54350,0.1896,1,-1,lost,2
