t,f,pos,state,final_state,id
13210,0.030747,1,1,fixed,1
13220,0.058427,1,1,fixed,1
13230,0.106312,1,1,fixed,1
13240,0.188513,1,1,fixed,1
13250,0.311479,1,1,fixed,1
13260,0.467873,1,1,fixed,1
13270,0.629792,1,1,fixed,1
13280,0.767012,1,1,fixed,1
13290,0.865208,1,1,fixed,1
13300,0.92532,1,1,fixed,1
13310,0.959768,1,1,fixed,1
9030,0.024257,1,-1,fixed,2
9040,0.067778,1,-1,fixed,2
9050,0.173403,1,-1,fixed,2
9060,0.373393,1,-1,fixed,2
9070,0.629352,1,-1,fixed,2
9080,0.82877,1,-1,fixed,2
9090,0.932115,1,-1,fixed,2
9100,0.97507,1,-1,fixed,2
47130,0.046509,1,-1,fixed,3
47140,0.063134,1,-1,fixed,3
47150,0.08561,1,-1,fixed,3
47160,0.113266,1,-1,fixed,3
47170,0.14799,1,-1,fixed,3
47180,0.187964,1,-1,fixed,3
47190,0.234121,1,-1,fixed,3
47200,0.287492,1,-1,fixed,3
47210,0.345307,1,-1,fixed,3
47220,0.408997,1,-1,fixed,3
47230,0.472832,1,-1,fixed,3
47240,0.540032,1,-1,fixed,3
47250,0.601742,1,-1,fixed,3
47260,0.658428,1,-1,fixed,3
47270,0.709791,1,-1,fixed,3
47280,0.765228,1,-1,fixed,3
47290,0.815374,1,-1,fixed,3
47300,0.864033,1,-1,fixed,3
47310,0.909899,1,-1,fixed,3
47320,0.949705,1,-1,fixed,3
47330,0.975955,1,-1,fixed,3
77190,0.040459,2,1,fixed,4
77200,0.053542,2,1,fixed,4
77210,0.068126,2,1,fixed,4
77220,0.088471,2,1,fixed,4
77230,0.1124,2,1,fixed,4
77240,0.142183,2,1,fixed,4
77250,0.177269,2,1,fixed,4
77260,0.220863,2,1,fixed,4
77270,0.271136,2,1,fixed,4
77280,0.325395,2,1,fixed,4
77290,0.386322,2,1,fixed,4
77300,0.448765,2,1,fixed,4
77310,0.51497,2,1,fixed,4
77320,0.578577,2,1,fixed,4
77330,0.638679,2,1,fixed,4
77340,0.680328,2,1,fixed,4
77350,0.729121,2,1,fixed,4
77360,0.775215,2,1,fixed,4
77370,0.818662,2,1,fixed,4
77380,0.853834,2,1,fixed,4
77390,0.881739,2,1,fixed,4
77400,0.905061,2,1,fixed,4
77410,0.923395,2,1,fixed,4
77420,0.939933,2,1,fixed,4
77430,0.949874,2,1,fixed,4
77440,0.960778,2,1,fixed,4
5320,0.048587,2,-1,lost,5
5330,0.052409,2,-1,lost,5
5340,0.054668,2,-1,lost,5
5350,0.055663,2,-1,lost,5
5360,0.057718,2,-1,lost,5
5370,0.060802,2,-1,lost,5
5380,0.064159,2,-1,lost,5
5390,0.066338,2,-1,lost,5
5400,0.068043,2,-1,lost,5
5410,0.07055,2,-1,lost,5
5420,0.073469,2,-1,lost,5
5430,0.075323,2,-1,lost,5
5440,0.077353,2,-1,lost,5
5450,0.079095,2,-1,lost,5
5460,0.080282,2,-1,lost,5
5470,0.081255,2,-1,lost,5
5480,0.08153,2,-1,lost,5
5490,0.080781,2,-1,lost,5
5500,0.079332,2,-1,lost,5
5510,0.077519,2,-1,lost,5
5520,0.07608,2,-1,lost,5
5530,0.071074,2,-1,lost,5
5540,0.069247,2,-1,lost,5
5550,0.065072,2,-1,lost,5
5560,0.060854,2,-1,lost,5
5570,0.055863,2,-1,lost,5
5580,0.051044,2,-1,lost,5
5590,0.046505,2,-1,lost,5
58140,0.035021,2,-1,fixed,6
58150,0.052532,2,-1,fixed,6
58160,0.076178,2,-1,fixed,6
58170,0.109126,2,-1,fixed,6
58180,0.152682,2,-1,fixed,6
58190,0.211103,2,-1,fixed,6
58200,0.282137,2,-1,fixed,6
58210,0.368003,2,-1,fixed,6
58220,0.460117,2,-1,fixed,6
58230,0.554269,2,-1,fixed,6
58240,0.645534,2,-1,fixed,6
58250,0.72761,2,-1,fixed,6
58260,0.795499,2,-1,fixed,6
58270,0.847659,2,-1,fixed,6
58280,0.890771,2,-1,fixed,6
58290,0.921858,2,-1,fixed,6
58300,0.946669,2,-1,fixed,6
58310,0.963453,2,-1,fixed,6
14420,0.046643,3,-1,lost,7
14430,0.055673,3,-1,lost,7
14440,0.066047,3,-1,lost,7
14450,0.079088,3,-1,lost,7
14460,0.094705,3,-1,lost,7
14470,0.111923,3,-1,lost,7
14480,0.132868,3,-1,lost,7
14490,0.156728,3,-1,lost,7
14500,0.182096,3,-1,lost,7
14510,0.211908,3,-1,lost,7
14520,0.241639,3,-1,lost,7
14530,0.278238,3,-1,lost,7
14540,0.310158,3,-1,lost,7
14550,0.341508,3,-1,lost,7
14560,0.371863,3,-1,lost,7
14570,0.392014,3,-1,lost,7
14580,0.392541,3,-1,lost,7
14590,0.367163,3,-1,lost,7
14600,0.317613,3,-1,lost,7
14610,0.252704,3,-1,lost,7
14620,0.186187,3,-1,lost,7
14630,0.12617,3,-1,lost,7
14640,0.081289,3,-1,lost,7
14650,0.051207,3,-1,lost,7
14660,0.031608,3,-1,lost,7
83230,0.046471,3,-1,missing,8
83240,0.054142,3,-1,missing,8
83250,0.063916,3,-1,missing,8
83260,0.075755,3,-1,missing,8
83270,0.088776,3,-1,missing,8
83280,0.104008,3,-1,missing,8
83290,0.12106,3,-1,missing,8
83300,0.138782,3,-1,missing,8
83310,0.158534,3,-1,missing,8
83320,0.183079,3,-1,missing,8
83330,0.207959,3,-1,missing,8
63660,0.041338,4,1,fixed,9
63670,0.05896,4,1,fixed,9
63680,0.081374,4,1,fixed,9
63690,0.109398,4,1,fixed,9
63700,0.145675,4,1,fixed,9
63710,0.191608,4,1,fixed,9
63720,0.248534,4,1,fixed,9
63730,0.314265,4,1,fixed,9
63740,0.392266,4,1,fixed,9
63750,0.475347,4,1,fixed,9
63760,0.558648,4,1,fixed,9
63770,0.638448,4,1,fixed,9
63780,0.710767,4,1,fixed,9
63790,0.775239,4,1,fixed,9
63800,0.827664,4,1,fixed,9
63810,0.871039,4,1,fixed,9
63820,0.903114,4,1,fixed,9
63830,0.93012,4,1,fixed,9
63840,0.948561,4,1,fixed,9
63850,0.963217,4,1,fixed,9
15240,0.047773,4,-1,lost,10
15250,0.059964,4,-1,lost,10
15260,0.077781,4,-1,lost,10
15270,0.099804,4,-1,lost,10
15280,0.12536,4,-1,lost,10
15290,0.157227,4,-1,lost,10
15300,0.195409,4,-1,lost,10
15310,0.241016,4,-1,lost,10
15320,0.295931,4,-1,lost,10
15330,0.356363,4,-1,lost,10
15340,0.420421,4,-1,lost,10
15350,0.489226,4,-1,lost,10
15360,0.556015,4,-1,lost,10
15370,0.620962,4,-1,lost,10
15380,0.666931,4,-1,lost,10
15390,0.713744,4,-1,lost,10
15400,0.748054,4,-1,lost,10
15410,0.772106,4,-1,lost,10
15420,0.780053,4,-1,lost,10
15430,0.773791,4,-1,lost,10
15440,0.754287,4,-1,lost,10
15450,0.719865,4,-1,lost,10
15460,0.671936,4,-1,lost,10
15470,0.6093,4,-1,lost,10
15480,0.540081,4,-1,lost,10
15490,0.467222,4,-1,lost,10
15500,0.391882,4,-1,lost,10
15510,0.320252,4,-1,lost,10
15520,0.257476,4,-1,lost,10
15530,0.202905,4,-1,lost,10
15540,0.156194,4,-1,lost,10
15550,0.115575,4,-1,lost,10
15560,0.085866,4,-1,lost,10
15570,0.063868,4,-1,lost,10
15580,0.046178,4,-1,lost,10
55140,0.047447,4,-1,fixed,11
55150,0.072953,4,-1,fixed,11
55160,0.109449,4,-1,fixed,11
55170,0.162596,4,-1,fixed,11
55180,0.23259,4,-1,fixed,11
55190,0.316793,4,-1,fixed,11
55200,0.419264,4,-1,fixed,11
55210,0.528968,4,-1,fixed,11
55220,0.633329,4,-1,fixed,11
55230,0.727765,4,-1,fixed,11
55240,0.805321,4,-1,fixed,11
55250,0.865023,4,-1,fixed,11
55260,0.907688,4,-1,fixed,11
55270,0.937905,4,-1,fixed,11
55280,0.959547,4,-1,fixed,11
20920,0.049199,5,1,fixed,12
20930,0.063622,5,1,fixed,12
20940,0.081227,5,1,fixed,12
20950,0.103153,5,1,fixed,12
20960,0.129865,5,1,fixed,12
20970,0.163581,5,1,fixed,12
20980,0.203642,5,1,fixed,12
20990,0.250361,5,1,fixed,12
21000,0.301552,5,1,fixed,12
21010,0.359919,5,1,fixed,12
21020,0.420417,5,1,fixed,12
21030,0.486161,5,1,fixed,12
21040,0.552607,5,1,fixed,12
21050,0.616202,5,1,fixed,12
21060,0.684841,5,1,fixed,12
21070,0.742409,5,1,fixed,12
21080,0.789892,5,1,fixed,12
21090,0.832116,5,1,fixed,12
21100,0.867331,5,1,fixed,12
21110,0.895769,5,1,fixed,12
21120,0.921118,5,1,fixed,12
21130,0.942628,5,1,fixed,12
21140,0.956419,5,1,fixed,12
17110,0.045242,5,-1,fixed,13
17120,0.05079,5,-1,fixed,13
17130,0.055371,5,-1,fixed,13
17140,0.060489,5,-1,fixed,13
17150,0.065608,5,-1,fixed,13
17160,0.071553,5,-1,fixed,13
17170,0.075866,5,-1,fixed,13
17180,0.082394,5,-1,fixed,13
17190,0.087579,5,-1,fixed,13
17200,0.096329,5,-1,fixed,13
17210,0.104254,5,-1,fixed,13
17220,0.135801,5,-1,fixed,13
17230,0.153745,5,-1,fixed,13
17240,0.173329,5,-1,fixed,13
17250,0.200065,5,-1,fixed,13
17260,0.229534,5,-1,fixed,13
17270,0.265808,5,-1,fixed,13
17280,0.311213,5,-1,fixed,13
17290,0.363523,5,-1,fixed,13
17300,0.426244,5,-1,fixed,13
17310,0.493562,5,-1,fixed,13
17320,0.561471,5,-1,fixed,13
17330,0.632912,5,-1,fixed,13
17340,0.702529,5,-1,fixed,13
17350,0.762576,5,-1,fixed,13
17360,0.815183,5,-1,fixed,13
17370,0.859342,5,-1,fixed,13
17380,0.896259,5,-1,fixed,13
17390,0.92339,5,-1,fixed,13
17400,0.942839,5,-1,fixed,13
17410,0.958174,5,-1,fixed,13
52140,0.042067,5,-1,lost,14
52150,0.053804,5,-1,lost,14
52160,0.067623,5,-1,lost,14
52170,0.085444,5,-1,lost,14
52180,0.105759,5,-1,lost,14
52190,0.129595,5,-1,lost,14
52200,0.156181,5,-1,lost,14
52210,0.186555,5,-1,lost,14
52220,0.219835,5,-1,lost,14
52230,0.254822,5,-1,lost,14
52240,0.290414,5,-1,lost,14
52250,0.329367,5,-1,lost,14
52260,0.372284,5,-1,lost,14
52270,0.4131,5,-1,lost,14
52280,0.458461,5,-1,lost,14
52290,0.484917,5,-1,lost,14
52300,0.505625,5,-1,lost,14
52310,0.506249,5,-1,lost,14
52320,0.468507,5,-1,lost,14
52330,0.394542,5,-1,lost,14
52340,0.291024,5,-1,lost,14
52350,0.192874,5,-1,lost,14
52360,0.116638,5,-1,lost,14
52370,0.066322,5,-1,lost,14
52380,0.035756,5,-1,lost,14
50210,0.046827,6,1,lost,15
50220,0.050936,6,1,lost,15
50230,0.055486,6,1,lost,15
50240,0.060519,6,1,lost,15
50250,0.065546,6,1,lost,15
50260,0.07283,6,1,lost,15
50270,0.079388,6,1,lost,15
50280,0.084913,6,1,lost,15
50290,0.091602,6,1,lost,15
50300,0.097377,6,1,lost,15
50310,0.103615,6,1,lost,15
50320,0.109434,6,1,lost,15
50330,0.112605,6,1,lost,15
50340,0.115047,6,1,lost,15
50350,0.116708,6,1,lost,15
50360,0.116234,6,1,lost,15
50370,0.11519,6,1,lost,15
